"de_para";"valor"
"ELECTRONARIZONA PAE";"padaria"
"ELECTRONADM ABASTEC";"consumo"
"PIX QRS AMERICANAS 15/07";"americanas"
"ELECTRONRAIA 47";"farmacia"
"ELECTRONHOTEL ITAVE";"viagem_hotel"
"ELECTRONRODO STOP";"comercio"
"ELECTRONCOMITIVA GR";"viagem"
"PIX QRS ORION INSTI18/07";"roupa"
"ELECTRONCRISVAL AGE";"viagem"
"ELECTRONIVANE VANZE";"comercio"
"ELECTRONBOCA DA ONC";"viagem"
"ELECTRONZAGAIA ECO-";"viagem_hotel"
"ELECTRONS S P";"comercio"
"FINANC IMOBILIARIO   016";"financiamento"
"PIX QRS B2W COMPANH22/07";"americanas"
"ELECTRONSANTANA DRI";"comercio"
"PIX TRANSF  JULIANE22/07";"pessoa"
"PIX TRANSF  Matheus22/07";"alimentacao"
"PIX TRANSF  ANDRE N23/07";"investimento"
"PIX QRS PORTOSEG SA23/07";"portoseguro"
"PIX QRS PAGSMILE24/07";"investimento"
"PIX QRS B2W COMPANH25/07";"americanas"
"ELECTRONCOMERCIAL N";"comercio"
"ELECTRONNIELLY NATH";"pessoa"
"ELECTRONPAG*Alexand";"pessoa"
"PIX TRANSF  Matheus29/07";"alimentacao"
"ELECTRONFRUTAS SERG";"feira-frutas"
"ELECTRONPAG*Antonie";"pessoa"
"TAR PACOTE ITAU   DEZ/22";"banco"
"INT  PAG TIT BANCO 001";"boleto"
"ELECTRONBANANAS ANA";"feira-banana"
"ELECTRONPAG*Antonia";"pessoa"
"ELECTRONCANAA LANCH";"alimentacao"
"SAQUE 24H 741367725";"saque"
"INT PAG TIT 109006482085";"boleto"
"PIX TRANSF  REAL BR13/01";"pix"
"PIX QRS ARENA FUTEB13/01";"pix"
"PIX TRANSF  IMW 3 R16/01";"oferta"
"ELECTRONPG *TON BAR";"comercio"
"ELECTRONMARCELO NAO";"pessoa"
"PIX TRANSF  IMW 3 R15/01";"oferta"
"ELECTRONJOSE ADRIAN";"pessoa"
"FINANC IMOBILIARIO   010";"financiamento"
"ELECTRONMERCADOPAGO";"mercado"
"ELECTRONBANANAS ANA";"feira"
"SAQUE 24H 16975633";"saque"
"PIX QRS Mc Donalds 23/01";"alimentacao"
"PIX TRANSF  NIRLEY 26/01";"pessoa"
"MOBILEPAG TIT BANCO 001";"boleto"
"ELECTRONPAG*JMFRUTA";"feira"
"CXE 000372 SAQUE 28/01";"saque"
"PIX TRANSF  IMW 3 R01/02";"igreja"
"PIX TRANSF  LUCIANO02/02";"alimentacao"
"TAR PACOTE ITAU   JAN/23";"banco"
"ELECTRONPAG*Mundome";"consumo"
"CXE 000232 SAQUE 04/02";"saque"
"PIX TRANSF  LUCIANO04/02";"futebol"
"PIX QRS CASA LOTERI06/02";"transporte"
"PIX TRANSF  POUPETR06/02";"pix"
"PIX TRANSF  REAL BR07/02";"futebol"
"ELECTRONFDI FERNAO";"comercio"
"ELECTRONPAG*Edmilso";"pessoa"
"INT PAG TIT 109006507485";"boleto"
"PIX TRANSF  IMW 3 R12/02";"igreja"
"INT PAG TIT 109006507493";"boleto"
"PIX TRANSF  EDMILSO15/02";"churros"
"PIX TRANSF  IMW 3 R16/02";"igreja"
"ELECTRONFRUTAS SUPR";"feira"
"ELECTRONPAG*NiwsonY";"pessoa"
"PIX TRANSF  IGREJA 22/02";"igreja"
"ELECTRONPAG*AndreBr";"feira"
"PIX TRANSF  IMW 3 R21/02";"igreja"
"FINANC IMOBILIARIO   011";"financiamento"
"PIX TRANSF  EDMILSO24/02";"churros"
"CXE 000091 SAQUE 25/02";"saque"
"PIX TRANSF  NIRLEY 25/02";"pessoa"
"PIX TRANSF  EDMILSO28/02";"churros"
"ELECTRONSALAO AMIGO";"cabeleireiro"
"PIX TRANSF  ROGERIO01/03";"pix"
"TAR PACOTE ITAU   FEV/23";"banco"
"PIX TRANSF  EDMILSO02/03";"churros"
"CXE     000695 SAQUE";"saque"
"PIX TRANSF  LUCIANO03/03";"alimentacao"
"ELECTRONNEW CENTER";"comercio"
"PIX TRANSF  ROGERIO03/03";"pipoca"
"CXE 000208 SAQUE 04/03";"saque"
"PIX TRANSF  FELIPE 06/03";"pix"
"PIX TRANSF  ROGERIO07/03";"pipoca"
"PIX TRANSF  IMW 3 R07/03";"igreja"
"PIX QRS ARENA FUTEB08/03";"futebol"
"PIX TRANSF  LUCIANO10/03";"alimentacao"
"PIX TRANSF  LUCIANO10/10";"futebol"
"PIX TRANSF  REAL BR10/03";"futebol"
"CXE 000323 SAQUE 11/03";"saque"
"PIX TRANSF  IMW 3 R12/03";"igreja"
"PIX TRANSF  EDMILSO14/03";"churros"
"PIX TRANSF  FELIPE 14/03";"pix"
"PIX TRANSF  LUCIANO16/03";"alimentacao"
"PIX TRANSF  IMW 3 R16/03";"igreja"
"PIX TRANSF  EDMILSO20/03";"churros"
"PIX TRANSF  JULIANE18/03";"pessoa"
"PIX TRANSF  ROGERIO22/03";"pipoca"
"FINANC IMOBILIARIO   012";"financiamento"
"PIX TRANSF  erlonds24/03";"cabeleireiro"
"PIX TRANSF  LUCIANO24/03";"alimentacao"
"INT PAG TIT 109501011564";"boleto"
"CXE 000034 SAQUE 25/03";"saque"
"PIX TRANSF  IMW 3 R26/03";"igreja"
"PIX TRANSF  EDMILSO28/03";"churros"
"PIX TRANSF  ROGERIO30/03";"pipoca"
"PIX TRANSF  IMW 3 R30/03";"igreja"
"PIX TRANSF  IMW 3 R02/04";"igreja"
"PIX QRS ARENA FUTEB02/04";"futebol"
"PIX TRANSF  EDMILSO03/04";"churros"
"TAR PACOTE ITAU   MAR/23";"banco"
"PIX TRANSF  ROGERIO04/04";"pipoca"
"PIX TRANSF  CARLOS 04/04";"pessoa"
"PIX TRANSF  EDMILSO06/04";"churros"
"Fgr Comercio-ct   01/03";"Fgr"
"Google Cloud 98nxrw";"Google"
"M Jarouche Comercio(03/03)";"M"
"Artemis Comercio De(03/03)";"Artemis"
"Mp *klmcentr-ct O  (03/04)";"Mp"
"Aluguel            (03/06)";"Aluguel"
"Fgr Comercio-ct    (02/03)";"Fgr"
"Pag*geraldot-ct Atova";"Pag"
"ELECTRONBAZAR PAPEL";"BAZAR"
"PIX TRANSF  TARCISI02/09";"TARCISI"
"ELECTRONPG *TON JOS";"PG"
"ELECTRONVALDEMAR HE";"VALDEMAR"
"PIX TRANSF  IMW 3 R03/09";"igreja"
"Fgr Comercio-ct    (03/03)";"Fgr"
"PIX QRS PORTOSEG SA23/08";" PORTOSEG SA"
"PIX TRANSF  ANDRE N24/08";"investimento"
"PIX TRANSF  IMW 3 R24/08";"igreja"
"PIX QRS PAGSMILE25/08";"investimento"
"ELECTRONHOKIM SUPER";"HOKIM"
"ELECTRONCONDOMINIO";"CONDOMINIO"
"ELECTRONFGN COML LT";"FGN"
"ELECTRONSWEET";"SWEET"
"PIX QRS SHPP BRASIL31/08";"SHPP BRASIL"
"PIX TRANSF  IMW 3 R31/08";"igreja"
"PIX TRANSF  NIRLEY 31/08";"NIRLEY"
"compras";"compras"
"ELECTRONBOM BAIANO";"alimentacao"
"ELECTRONPAG*AutoPos";"AutoPos"
"ELECTRONPAG*Lidiane";"Lidiane"
"ELECTRONVALDOMIRO M";"passeio_parque_eco"
"ELECTRONJOFIX 3";"material_construcao_banheiro"
"ELECTRONPAG*MjlCome";"sodie"
"ELECTRONPAG*Crispin";"feira"
"ELECTRONPLAYCENTER";"lazer"
"ELECTRONPAG*Olimpio";"feira"
"ELECTRONPAG*PATRICI";"loja"
"ELECTRONSO MARCAS E";"loja"
"ELECTRONB LA MILETT";"alimentacao"
"ELECTRON3723 - GRSA";"alimentacao"
"ELECTRONGARAGE INN";"estacionamento"
"ELECTRONPRECIOSA G";"padaria"
"ELECTRONPAG*Mariana";"feira"
"PIX TRANSF  HILEIA 13/10";"alimentacao"
"PIX TRANSF  JULIANE04/10";"alimentacao"
"ELECTRONAMORIM COME";"alimentacao"
"ADIANT.DEPOSITANTE 25/10";"pessoa"
"ELECTRONPILOTINHOS";"loja"
"ELECTRONPAG*Barueri";"alimentacao"
"PIX TRANSF  Cristia14/10";"feira"
"PIX TRANSF  DORALIC27/10";"dora"
"PIX TRANSF  DORALIC19/10";"dora"
"ELECTRONOMF COBRANC";"cobranca"
"JUROS EXCESSO LIM CONTA";"juros"
"ELECTRON1A99";"loja"
"ELECTRONPAG*Josisma";"pessoa"
"ELECTRONPAG*Jaciara";"pessoa"
"compras";"loja"
"ELECTRONJV CONVENIE";"loja"
"ELECTRONAUTTAR LOJA";"loja"
"ELECTRONCAPPTA *ULT";"loja"
"PIX TRANSF  DORALIC21/09";"dora"
"ELECTRONPOSTO SERVC";"posto_gasolina"
"PIX TRANSF  ALINE B20/09";"pessoa"
"PIX TRANSF  HILEIA 14/10";"pessoa"
"PIX QRS CLARO06/11";"claro"
"PIX TRANSF  ERALDO 15/09";"pessoa"
"PIX QRS PODEROSO TI19/09";"presente"
"PIX QRS SECRETARIA 11/09";"imposto"
"ELECTRONEDIMILSON V";"pessoa"
"ELECTRONIMW VILA ME";"igreja"
"ELECTRONPAG*EdvaneN";"feira"
"ELECTRONPAG*SALAOAM";"cabeleireiro"
"ELECTRONPAG*WmVerdu";"feira-verdura"
"MOBILEPAG TIT 7492331840";"banco"
"ELECTRONCLARO INT G";"claro"
"ELECTRONPAG*Reginal";"feira"
"ELECTRONCALDOS MANA";"alimentacao"
"ELECTRONMP*FLORDOMA";"feira"
"PIX QRS CEA PAY20/11";"roupa"
"ELECTRONGRUPO FARTU";"loja"
"ELECTRONLOJAS AMERI";"americanas"
"ELECTRONPUNTO ALPHA";"loja"
"PIX TRANSF  DORALIC23/11";"dora"
"ELECTRONCLUBE REAL";"alimentacao"
"ELECTRONPAG*JoseAbr";"pessoa"
"ELECTRONPAG*JoseEst";"pessoa"
"ELECTRONVANDEILDO B";"pessoa"
"PIX TRANSF  ALESSAN30/11";"advogado"
"PIX TRANSF  Erinald30/11";"pessoa"
"ELECTRONMARY PAPER";"loja"
"ELECTRONPAG*JoseSev";"pessoa"
"ELECTRONPAG*ArianaD";"pessoa"
"ELECTRONPALMAS DO T";"padaria"
"ELECTRONRAMOV TRIMA";"alimentacao"
"ELECTRONAUTO ELETRI";"carro"
"ELECTRONGRJ NEGOCIO";"alimentacao"
"ELECTRONPAG*Shoppin";"loja"
"PIX TRANSF  Bruna G07/12";"panetone"
"PIX TRANSF  MARIA A07/12";"presente_luis"
"ELECTRONBURGER KING";"alimentacao"
"PIX TRANSF  Jessika08/12";"alimentacao"
"ELECTRONPAG*SEBASTI";"feira"
"ELECTRONPAG*Cassioa";"feira-tapioca"
"ELECTRONPERFUMARIA";"loja"
"PIX TRANSF  MARGARI16/12";"pix"
"ELECTRONBAUDUCCO";"panetone"
"ELECTRONPAG*Luciana";"comercio"
"ELECTRONPOSTO NOVA";"comercio"
"ELECTRONPAG*Simoneg";"feira"
"ELECTRONPAG*RogerVi";"feira"
"PIX TRANSF  Erinald11/12";"feira"
"ELECTRONRITA DE SOU";"comercio"
"ELECTRONALOHA ESTAC";"estacionamento"
"ELECTRONMERLO'S PIZ";"alimentacao"
"PIX TRANSF  Jessika15/12";"alimentacao"
"ELECTRONFERNANVI LA";"comercio"
"PIX QRS PARCELA EXP20/12";"pix"
"ELECTRONMP*ORIEL";"alimentacao"
"ELECTRONRAVIOLITALI";"alimentacao"
"ELECTRONKERO LANCHE";"alimentacao"
"ELECTRONNATURA PAY*";"michelle"
"ELECTRONISABELLA BI";"comercio"
"ELECTRONAXE TATUAPE";"comercio"
"ELECTRONGUARU SPORT";"comercio"
"PIX QRS CEA PAY11/12";"roupa"
"PIX QRS CLARO15/12";"claro"
"PIX TRANSF  SECRETA11/12";"pix"
"ELECTRONARMARINHOS";"comercio"
"ELECTRONCASAS PERNA";"pernambucanas"
"ELECTRONPAG*Barraca";"feira"
"ELECTRONPAG*ZEDOMIL";"feira"
"ELECTRONTOTAL ECONO";"gasolina"
"ELECTRONJ R CAFE";"padaria"
"PIX TRANSF  Bianca 04/01";"feira"
"ELECTRONPAG*HudsonS";"feira"
"INT MULTA REN31997756838";"multa"
"ELECTRONFGR COMERCI";"mecanico"
"ELECTRONBB TRANSPOR";"transporte"
"ELECTRONRHF";"alimentacao"
"PIX TRANSF  FAGNO B10/01";"pedreiro"
"PIX TRANSF  ZIMER E10/01";"futebol"
"ELECTRONCAFE NA MED";"alimentacao"
"ELECTRONJK MINI MER";"mercado"
"PIX QRS ELECTROLUX11/01";"refil"
"PIX TRANSF  KAREN O11/01";"alimentacao"
"ELECTRONPAG*Moliky";"alimentacao"
"ELECTRONPAG*NinaBol";"alimentacao"
"PIX TRANSF  FABIANE12/01";"alimentacao"
"ELECTRONAUTO POSTO";"gasolina"
"ELECTRONDISTRIBUIDO";"alimentacao"
"ELECTRONLOJAS RENNE";"roupa"
"ELECTRONPAG*Alexsan";"alimentacao"
"ELECTRONPAG*JoaoApa";"alimentacao"
"ELECTRONPG *TON BAH";"alimentacao"
"ELECTRONSABOR TEM A";"alimentacao"
"DA  CLARO MOVEL 66459258";"claro"
"PIX TRANSF  ELIZABE16/01";"emprestimo"
"INT IPVA-SPHOH6396PARC01";"ipva"
"ELECTRONPAG*BrassSa";"alimentacao"
"ELECTRONSELMA DE SO";"alimentacao"
"PIX TRANSF  DORALIC18/01";"dora"
"ELECTRONKALUNGA IGU";"kalung"
"ELECTRONMANIA DE CH";"alimentacao"
"ELECTRONPAG*SucaoSu";"alimentacao"
"ELECTRONPCA N MUNDO";"mercado"
"PIX TRANSF  JURANDI20/01";"casamento"
"ELECTRONPAG*Juliane";"alimentacao"
"ELECTRONFAST SHOES";"roupa"
"ELECTRONIGREJA METO";"oferta"
"PIX TRANSF LUCIANO10/01";"futebol"
