"de_para";"valor"
"PIX TRANSF Cristia18/09";"pix"
"PIX TRANSF LUCIANO22/09";"alimentacao"
"PIX TRANSF Mayara 22/09";"pipoca"
"PIX TRANSF EDMILSO22/09";"churross"
"PIX TRANSF EDMILSO23/09";"churross"
"PIX TRANSF Mayara 23/09";"pipoca"
"PIX TRANSF IMW 3 R25/09";"oferta"
"PIX TRANSF Gustavo24/09";"pix"
"PIX TRANSF EDMILSO27/09";"churross"
"PIX TRANSF LUCIANO28/09";"alimentacao"
"PIX TRANSF EDMILSO29/09";"churross"
"PIX TRANSF LUCIANO30/09";"alimentacao"
"PIX TRANSF JANAINA01/10";"alimentacao"
"PIX TRANSF RR LVA 05/10";"pix"
"PIX TRANSF ASTES A06/10";"pix"
"PIX TRANSF erlonds10/10";"cabelereiro"
"PIX TRANSF ARTHUR 09/10";"pix"
"ELECTRONPAG*Marinal";"pessoa"
"ELECTRONPAG*CarlosD";"pessoa"
"PIX TRANSF FAGNO B17/10";"pix"
"PIX TRANSF Pedro H15/10";"pix"
"PIX QRS Adyen do Br20/10";"pix"
"PIX TRANSF CARLOS 25/10";"pix"
"PIX TRANSF ASTES A25/10";"pix"
"PIX TRANSF Pedro H30/10";"pix"
"PIX TRANSF JANAINA29/10";"alimentacao"
"PIX QRS PAES E DOCE01/11";"padaria"
"PIX TRANSF IMW 3 R03/11";"oferta"
"PIX TRANSF Mayara 03/11";"pipoca"
"PIX TRANSF EDMILSO03/11";"churross"
"PIX TRANSF erlonds04/11";"cabelereiro"
"PIX TRANSF IMW 3 R06/11";"oferta"
"PIX TRANSF AMERICO06/11";"pix"
"CXE 000158 SAQUE 05/11";"saque"
"PIX TRANSF REAL BR05/11";"pix"
"PIX TRANSF JANAINA05/11";"alimentacao"
"PIX TRANSF EDMILSO07/11";"churross"
"PIX TRANSF LUCIANO08/11";"alimentacao"
"PIX TRANSF Mayara 08/11";"pipoca"
"PIX TRANSF IMW R 310/11";"seminario"
"PIX TRANSF APM CEI10/11";"creche"
"PIX TRANSF IMW 3 R10/11";"oferta"
"King Star Colchoes08/10";"colch�o"
"Mbs Modas Ltda    03/04";"roupa"
"Cea Scn 160 Ecpc  03/03";"roupa"
"Outlet Vila Maria 02/06";"roupa"
"Rdi Kids Modinha";"roupa"
"Rdi Kids Modinha  02/03";"roupa"
"Hip.bergamini Lj 202/02";"mercado"
"Dorinhos - Loja 3302/03";"roupa"
"Rosa Store Ltda   02/02";"roupa"
"Dorinhos - Loja 33 - V";"roupa"
"Drogaria Sao Paulo02/03";"farmacia"
"Tatuape Sushi";"alimentacao"
"Abastec*aai*ipiranga";"gasolina"
"Drogasil3462";"farmacia"
"Ponto Da Esfiha";"alimentacao"
"Ame*americanascom 01/03";"americanas"
"Tokio Marine*auto10d12";"carro"
"Casa De Bolos Vl Sabri";"alimentacao"
"Pag*pasteldateru";"alimentacao"
"Arena Novo Mundo";"lazer"
"Posto Florid-ct";"gasolina"
"Hip.bergamini Lj 201/02";"mercado"
"Charles Dogs-ct";"alimentacao"
"Rs Avila    -ct";"mercado"
"Starbucks";"alimentacao"
"Torra Torra -ct   01/02";"roupa"
"Disney Plus";"app"
"Massas Italianas";"alimentacao"
"Pernil & Cia";"alimentacao"
"Paes E Doces Charmosa";"padaria"
"Amazon.com.br Digital C";"app"
"Dm          *spotify";"app"
"King Star Colchoes09/10";"colch�o"
"Mbs Modas Ltda    04/04";"roupa"
"Outlet Vila Maria 03/06";"roupa"
"Rdi Kids Modinha  03/03";"roupa"
"Max Fama Modeling 03/12";"desfile"
"Dorinhos - Loja 3303/03";"roupa"
"Drogaria Sao Paulo03/03";"farmacia"
"Ame*americanascom 02/03";"americanas"
"Ame*americanascom";"americanas"
"Torra Torra -ct   02/02";"roupa"
"Hip.bergamini Lj 2";"mercado"
"Atacadao 060-ct";"mercado"
"Abastec*abastece Ai";"gasolina"
"Drogaria Sao-ct Lo 194";"farmacia"
"Raia 47           01/03";"farmacia"
"Auto Posto Casuarinas";"gasolina"
"Mini Extra 5-ct Pca N";"mercado"
"Pag*realnovomundo";"padaria"
"Pag*pizzaria-ct Mundo";"alimentacao"
"King Star Colchoes (10/10)";"colch�o"
"Max Fama Modeling  (04/12)";"desfile"
"Ame*americanascom  (03/03)";"americanas"
"Hip.bergamini Lj 2 (02/02)";"mercado"
"Raia 47            (02/03)";"farmacia"
"Pag*gapizzar-ct";"alimentacao"
"Padaria Delicias Do P";"padaria"
"Pag*rotisser-ct Ido";"alimentacao"
"Burger King Shopping M";"alimentacao"
"Chefinhos Pastelaria";"alimentacao"
"Rbm Supermercado Ltda";"mercado"
"Galpao Gaucho";"alimentacao"
"SALDO INICIAL";"saldo"
"DOC INT 098997";"transferencia"
"ELECTRONPERTO METRO";"transporte"
"IOF";"Taxa_banco"
"RES APLIC AUT MAIS";"banco"
"SALDO APLIC AUT MAIS";"saldo"
"ELECTRONBELLA ATALI";"padaria"
"ELECTRONDROGASIL 17";"farmacia"
"ELECTRONMILK SHAKE";"alimentacao"
"ELECTRONTTOMATOES";"alimentacao"
"TAR PACOTE ITAU   DEZ/19";"banco"
"DOC INT 381229";"transferencia"
"ELECTRONARIZONA PAE";"padaria"
"ELECTRONFEIRANTE";"feira"
"ELECTRONHEROES PLAY";"lazer"
"ELECTRONJ E VERDURA";"feira"
"ELECTRONMC DONALDS";"alimentacao"
"ELECTRONPAG*Geraldo";"pessoa"
"ELECTRONSHOKITI";"shokiti"
"ELECTRONSONDA JACAN";"mercado"
"ELECTRONSTELO*MARIO";"alimentacao"
"ELECTRONUNIDOS DA V";"alimentacao"
"ELECTRONADEGA DO AL";"alimentacao"
"ELECTRONSUPERMERCAD";"mercado"
"TBI 0190.72508-5     C/C";"entrada"
"ELECTRONAUTOPASS";"estacionamento"
"SEGURO CARTAO";"banco"
"SALDO PARCIAL";"saldo"
"SALDO ANTERIOR";"saldo"
"TBI 1491.48993-4     C/C";"michelle"
"ELECTRONPAG*Eduardo";"pessoa"
"ELECTRONSTELO S A *";"alimentacao"
"ELECTRONGRAO ESPRES";"alimentacao"
"INT PAG TIT 109000333418";"boleto"
"INT ITAUCARD";"cartao credito"
"TEC DEPOSITO DINHEIRO";"deposito"
"TED 237.2846ANDRE N BARB";"salario"
"APL APLIC AUT MAIS";"saldo"
"DEB AUTOR UNICEF";"doa��o"
"ELECTRONPERTO";"transporte"
"ELECTRONMINIMERCADO";"mercado"
"ELECTRONP3 PAPELARI";"papelaria"
"ELECTRONQUITANDA ME";"alimentacao"
"TED 260.0001ANDERSON A S";"doa��o"
"ELECTRONSUA ACADEMI";"academia"
"ELECTRONASSAI ATACA";"mercado"
"ELECTRONCELEIRO DA";"restaurante"
"ELECTRONEVANDRO G N";"pessoa"
"ELECTRONI9PARK ESTA";"estacionamento"
"ELECTRONPAG*ADRIANA";"pessoa"
"ELECTRONPAG*CleliaA";"pessoa"
"ELECTRONPAG*MariaAp";"pessoa"
"ELECTRONPROMOFARMA";"farmacia"
"ELECTRONRAIA 47";"farmacia"
"INT TED 104354400005640";"boleto"
"ELECTRONSTELO S A*R";"alimentacao"
"TBI 9293.22915-0/500";"poupanca"
"SALDO FINAL";"saldo"
"TBI 0747.56106-6     C/C";"deposito"
"ELECTRONFERNANDA VA";"pessoa"
"INT NEXTEL 9099999739334";"celular"
"ELECTRONDEPOSITO DO";"alimentacao"
"ELECTRONSONDA TREME";"mercado"
"INT TED  561369 SEMI";"seminario"
"INT NEXTEL 9199999739334";"celular"
"TAR PACOTE ITAU   JAN/20";"banco"
"ELECTRONMARCO ANTON";"pessoa"
"ELECTRONMARIA LUCIA";"pessoa"
"ELECTRONPADARIA PAL";"padaria"
"ELECTRONPAG*Antonio";"pessoa"
"ELECTRONPAG*Rosange";"pessoa"
"INT  PAG TIT BANCO 001";"boleto"
"ELECTRONCHOCO MIX";"alimentacao"
"ELECTRONPAG*CiceroF";"pessoa"
"ELECTRONPAG*DanielF";"pessoa"
"ELECTRONPAG*RafaelF";"pessoa"
"ELECTRONPAG*Verdura";"feira"
"ELECTRONRAIA 133";"farmacia"
"ELECTRONRAVIOLITALI";"alimentacao"
"ELECTRONREINALDO DE";"pessoa"
"CXE     000554 SAQUE";"saque"
"ELECTRONSUELICATESS";"pessoa"
"CXE     000331 SAQUE";"saque"
"CXE     001966 SAQUE";"saque"
"ELECTRONVARANDA FRU";"mercado"
"ELECTRONANTONIO SER";"pessoa"
"INT  PAG TIT BANCO 237";"boleto"
"INT IPVA-SP HOH-6396";"ipva"
"ELECTRONHORTIFRUTI";"mercado"
"ELECTRONMERCADOPAGO";"mercado"
"ELECTRONPAG*Natalia";"pessoa"
"ELECTRONPOSTO M G M";"gasolina"
"ELECTRONSARA MARIA";"pessoa"
"INT TED  225223 SEMINRI";"seminario"
"INT DOC 260000135246778";"boleto"
"ELECTRONPAG*VictorM";"pessoa"
"ELECTRONPAG*WpaperM";"comgas"
"ELECTRONPROMO FARMA";"farmacia"
"CXE 000273 SAQUE 22/02";"saque"
"ELECTRONAUTO POSTO";"gasolina"
"ELECTRONBK SHOPPING";"alimentacao"
"ELECTRONCHICO HAMBU";"alimentacao"
"ELECTRONOURINHOS SU";"mercado"
"ELECTRONPAG*Valdeci";"pessoa"
"ELECTRONPLAYCENTER";"lazer"
"ELECTRONSUBWAY ARIC";"alimentacao"
"TBI 4833.46062-1/500";"entrada"
"CXE 000141 SAQUE 29/02";"saque"
"ELECTRONPAG*Danubia";"pessoa"
"ELECTRONTIAGO COELH";"pessoa"
"INT TED  040954 SEMINRI";"seminario"
"TAR PACOTE ITAU   FEV/20";"banco"
"LIS/JUROS     12 DIAS";"juros"
"SAQUE CARTAO MAGNETICO";"saque"
"RSHOP-AUTOPASS   -06/03";"estacionamento"
"CXE 001370 SAQUE 07/03";"saque"
"RSHOP-DROGARIA PR-07/03";"farmacia"
"REND PAGO APLIC AUT MAIS";"saldo"
"RSHOP-PERTO METRO-10/03";"transporte"
"RSHOP-SHOKITI    -10/03";"shokiti"
"RSHOP-LOJAS RENNE-11/03";"roupa"
"RSHOP-RIACHUELO 1-11/03";"roupa"
"RSHOP-MC DONALDS -12/03";"alimentacao"
"RSHOP-SONDA TREME-12/03";"mercado"
"INT NEXTEL 9999999734880";"celular"
"RSHOP-SHOKITI    -13/03";"shokiti"
"INT DPVAT-SP HOH-6396";"dpvat"
"RSHOP-IRA CAVALCA-16/03";"viagem"
"RSHOP-KETENE     -15/03";"viagem"
"RSHOP-LGA LANCHON-14/03";"viagem"
"RSHOP-PAG*Givaldo-17/03";"viagem"
"RSHOP-PAG*Sebasti-18/03";"viagem"
"RSHOP-ZP *CICERO -18/03";"viagem"
"RSHOP-PAG*Restaur-19/03";"viagem"
"RSHOP-SUPERMAR   -19/03";"viagem"
"CXE 000646 SAQUE 22/03";"viagem"
"RSHOP-CIA DA LAGO-21/03";"viagem"
"RSHOP-DROGARIA PR-23/03";"farmacia"
"RSHOP-PAG*Frigott-22/03";"frango"
"RSHOP-SONDA JACAN-22/03";"mercado"
"RSHOP-SONDA JACAN-23/03";"mercado"
"RSHOP-SONDA TREME-22/03";"mercado"
"RSHOP-SONDA TREME-23/03";"mercado"
"RSHOP-DROGARIA PR-24/03";"farmacia"
"RSHOP-DROGARIA MA-29/03";"farmacia"
"RSHOP-FEIRANTE   -29/03";"feira"
"RSHOP-PAG*CleliaA-29/03";"pessoa"
"RSHOP-PAG*RafaelF-29/03";"pessoa"
"RSHOP-POSTO FLORI-28/03";"gasolina"
"RSHOP-SONDA JACAN-29/03";"mercado"
"RSHOP-SONDA TREME-28/03";"mercado"
"TBI 0057.13714-3DILSHAD";"doa��o"
"RSHOP-SONDA TREME-31/03";"mercado"
"RSHOP-DROGARIA PR-01/04";"farmacia"
"RSHOP-SWIFT NOVA -01/04";"alimentacao"
"TAR PACOTE ITAU   MAR/20";"banco"
"RSHOP-LOJAS AMERI-03/04";"americanas"
"RSHOP-RAIA 47    -03/04";"farmacia"
"RSHOP-SONDA TREME-03/04";"mercado"
"CXE 000547 SAQUE 04/04";"saque"
"RSHOP-AUTO POSTO -04/04";"gasolina"
"RSHOP-DROGARIA PR-06/04";"farmacia"
"RSHOP-DROGARIA NO-04/04";"farmacia"
"RSHOP-HORTIFRUTI -04/04";"feira"
"RSHOP-MERCADINHO -04/04";"mercado"
"RSHOP-RAIA 153   -04/04";"farmacia"
"RSHOP-SONDA TREME-04/04";"mercado"
"RSHOP-SONDA TREME-05/04";"mercado"
"RSHOP-SONDA TREME-06/04";"mercado"
"RSHOP-SONDA TREME-07/04";"mercado"
"INT NEXTEL 9099999730370";"celular"
"INT NEXTEL 9199999730370";"celular"
"RSHOP-AUTO POSTO -09/04";"gasolina"
"RSHOP-ARIZONA PAE-13/04";"padaria"
"RSHOP-CHOCOLATES -12/04";"alimentacao"
"RSHOP-DROGARIA PR-11/04";"farmacia"
"RSHOP-ESPETO DO V-11/04";"alimentacao"
"RSHOP-PADARIA NOV-12/04";"padaria"
"RSHOP-PAG*JoseGil-12/04";"pessoa"
"RSHOP-SONDA JACAN-12/04";"mercado"
"RSHOP-STELO*MARIO-12/04";"alimentacao"
"RSHOP-HABIBS     -14/04";"alimentacao"
"RSHOP-SONDA JACAN-14/04";"mercado"
"RSHOP-ARIZONA PAE-15/04";"padaria"
"RSHOP-PAG*FarmaEF-15/04";"farmacia"
"TBI 2948.08717-2     C/C";"deposito"
"RSHOP-PAG*diegoej-16/04";"pessoa"
"RSHOP-PAG*Taylane-16/04";"pessoa"
"RSHOP-DROGARIA PR-17/04";"farmacia"
"RSHOP-ADEGA DO AL-18/04";"alimentacao"
"RSHOP-ARIZONA PAE-18/04";"padaria"
"RSHOP-DROGARIA MA-19/04";"farmacia"
"RSHOP-EVANDRO G N-19/04";"pessoa"
"RSHOP-FARMAVAN XI-18/04";"farmacia"
"RSHOP-OURINHOS SU-18/04";"mercado"
"RSHOP-SONDA JACAN-19/04";"mercado"
"RSHOP-ARIZONA PAE-21/04";"padaria"
"INT TED D   404795 SEGUR";"boleto"
"CXE     000133 SAQUE";"saque"
"RSHOP-ARIZONA PAE-23/04";"padaria"
"RSHOP-AUTO POSTO -24/04";"gasolina"
"RSHOP-MERCADINHO -24/04";"mercado"
"RSHOP-ARIZONA PAE-27/04";"padaria"
"RSHOP-AUTO POSTO -26/04";"gasolina"
"RSHOP-DROGARIA PR-27/04";"farmacia"
"RSHOP-LEROY MERLI-25/04";"leroy"
"RSHOP-MC DONALDS -25/04";"alimentacao"
"RSHOP-PAG*IgorDeA-25/04";"pessoa"
"RSHOP-RAIA 47    -27/04";"farmacia"
"RSHOP-SONDA TREME-25/04";"mercado"
"RSHOP-LEROY MERLI-29/04";"leroy"
"CXE     000620 SAQUE";"saque"
"RSHOP-ANDORINHA H-30/04";"mercado"
"RSHOP-PASTEIS M M-30/04";"alimentacao"
"RSHOP-PASTEIS YAS-30/04";"alimentacao"
"INT TED  511000";"boleto"
"INT TED  513437 SEMI";"seminario"
"RSHOP-LOJAS AMERI-03/05";"americanas"
"RSHOP-MERCADINHO -03/05";"mercado"
"RSHOP-PAG*MarcosD-01/05";"pessoa"
"RSHOP-POSTO AMMA -04/05";"gasolina"
"INT TED 033072610089869";"boleto"
"TAR PACOTE ITAU   ABR/20";"banco"
"CXE     000406 SAQUE";"saque"
"ELECTRONMOCOTO REST";"alimentacao"
"CXE     000026 SAQUE";"saque"
"INT NEXTEL 9599999726182";"celular"
"INT NEXTEL 9899999726181";"celular"
"ELECTRONLOJAS AMERI";"americanas"
"ELECTRONVG CELULARE";"celular"
"ELECTRONDROGARIA PR";"farmacia"
"ELECTRONHABIBS";"alimentacao"
"CXE 001628 SAQUE 17/05";"saque"
"ELECTRONFRANGOS E V";"alimentacao"
"ELECTRONPAG*diegoej";"pessoa"
"ELECTRONPAG*Severin";"pessoa"
"ELECTRONBOM FILET";"mercado"
"ELECTRONANDORINHA H";"mercado"
"INT TED 237284600601853";"boleto"
"SAQUE 24H 08741753 24/05";"saque"
"ELECTRONPAG*Frigott";"frango"
"ELECTRONDROGARIA SA";"farmacia"
"ELECTRONPAG*galasso";"pessoa"
"SALDO DO DIA";"saldo"
"TAR PACOTE ITAU   MAI/20";"banco"
"ELECTRONB LA MILETT";"alimentacao"
"SAQUE 24H 14645709 07/06";"saque"
"ELECTRONATACADAO DA";"mercado"
"ELECTRONPIZZA DELIG";"alimentacao"
"INT NEXTEL 9299999721677";"celular"
"INT NEXTEL 9999999721700";"celular"
"INT  PAG TIT BANCO 033";"boleto"
"ELECTRONJOSEFA MARL";"pessoa"
"ELECTRONMUNDIAL CAL";"roupa"
"SAQUE 24H 11143138 14/06";"saque"
"SDO CTA/APL AUTOMATICAS";"saldo"
"ELECTRONMERCADOCAR";"P� carro"
"INT PAG TIT 176008796308";"boleto"
"SAQUE 24H 11661220 21/06";"saque"
"ELECTRONBD";"agua"
"INT PAG TIT 109804018839";"boleto"
"SAQUE 24H 08799322 28/06";"saque"
"INT NET SERV COMUNICAC 4";"divida"
"TAR PACOTE ITAU   JUN/20";"banco"
"INT PAG TIT 109001140044";"boleto"
"SAQUE 24H 13784251 05/07";"saque"
"SAQUE 24H 18568832";"conserto maquina"
"LIS/JUROS     14 DIAS";"juros"
"INT NEXTEL 9699999717361";"celular"
"SAQUE 24H 10992964 12/07";"saque"
"INT NEXTEL 9499999717361";"celular"
"ELECTRONPAG*CamilaT";"pessoa"
"INT TED  451045 DOMINGOS";"manuten��o"
"TBI 0747.56106-6";"emprestimo"
"ELECTRONDROGARIA VE";"farmacia"
"INT TED 237274100473111";"seminario"
"SAQUE 24H 09919556 26/07";"saque"
"TBI 1491.48993-4michelle";"michelle"
"ELECTRONR C P FARMA";"farmacia"
"ELECTRONPAG*FarmaEF";"farmacia"
"DOC 001.REST. IR";"restitui��o irpf"
"(-) SALDO A LIBERAR";"saldo"
"SALDO FINAL DEVEDOR";"saldo"
"ELECTRONDROG SAO PA";"farmacia"
"ELECTRONMEU CHAPA B";"alimentacao"
"TAR PACOTE ITAU   JUL/20";"banco"
"TAR PACOTE ITAU   JUL/22";"banco"
"INT NEXTEL 9399999712769";"celular"
"INT NEXTEL 9399999712844";"celular"
"INT TED  189541 SEMI";"seminario"
"INT PAG TIT 109001179554";"boleto"
"ELECTRONGABRIELLA C";"pessoa"
"ELECTRONTORRA TORRA";"roupa"
"ELECTRONBRILHO REAL";"mercado"
"SAQUE 24H 11269792 16/08";"saque"
"ELECTRONDICICO TREM";"material casa"
"ELECTRONLEVI DA SIL";"pessoa"
"ELECTRONMAYARA SEGA";"pessoa"
"ELECTRONPAD CONF JD";"padaria"
"SAQUE 24H 10350379 23/08";"saque"
"ELECTRONCASAS DE BO";"alimentacao"
"ELECTRONCENTRO AUTO";"alimentacao"
"ELECTRONPAG*Chaveir";"chaveiro"
"SAQUE 24H 12686085 30/08";"saque"
"TAR PACOTE ITAU   AGO/20";"banco"
"SAQUE 24H 16358012 06/09";"saque"
"ELECTRONPAG*OPESCAD";"restaurante"
"INT NEXTEL 9099999708303";"celular"
"INT PAG TIT 109016422561";"boleto"
"ELECTRONPAG*Mercado";"mercado"
"CXE 000844 SAQUE 13/09";"saque"
"SAQUE 24H 10588358 13/09";"saque"
"INT NEXTEL 9399999708378";"celular"
"ELECTRONADRIANO CHI";"pessoa"
"ELECTRONSERGIO EIZO";"pessoa"
"ELECTRONCENTRO AUTO";"mercado"
"ELECTRONMG COMERCIO";"mercado"
"SAQUE 24H 09674540 19/09";"aniversario samuel(entr+van)"
"ELECTRONPAG*OPESCAD";"alimentacao"
"ELECTRONPARK NOW ES";"boleto"
"INT TED  498255 SEMI";"seminario"
"ELECTRONPAG*CarlaGo";"pessoa"
"ELECTRONPAG*Joseane";"pessoa"
"ELECTRONPAG*Mariaap";"pessoa"
"ELECTRONPASTEIS M M";"alimentacao"
"SAQUE 24H 10744894 27/09";"saque"
"ELECTRONPASTEIS TAN";"alimentacao"
"INT TED  160641 SEGURO";"seguro"
"TAR PACOTE ITAU   SET/20";"banco"
"SAQUE 24H 14082226 04/10";"saque"
"ELECTRONPAG*BOMBONI";"alimentacao"
"INT NEXTEL 9699999704015";"celular"
"INT NEXTEL 9699999703948";"celular"
"TED 237.0001BRADESCO SAU";"reembolso"
"INT PAG TIT 109022757711";"boleto"
"SAQUE 24H 12755310 11/10";"saque"
"ELECTRONRAGAZZO CAE";"alimentacao"
"TBI 0747.56106-6";"devolu��o"
"CEI     000021 DINHEIRO";"devolu��o"
"ELECTRONMERCPAGO";"alimentacao"
"SAQUE S/CARTAO 24H109864";"saque"
"ELECTRONFCIA PAGUE";"alimentacao"
"ELECTRONTRIMAIS SUP";"mercado"
"TBI 7633.10704-514522";"azul"
"SAQUE 24H 10705093 25/10";"saque"
"TBI 2959.24196-5     C/C";"reembolso"
"INT TED  554013 SEMI";"saldo"
"TBI 0534.18071-6     C/C";"saldo"
"SAQUE 24H 13727318 01/11";"saque"
"ELECTRONSANDROHAIR";"cabeleireiro"
"TAR PACOTE ITAU   OUT/20";"banco"
"TBI 0057.13714-3     C/C";"saque"
"LIS/JUROS     17 DIAS";"juros"
"INT PAG TIT 109027453506";"boleto"
"SAQUE 24H 17920331 08/11";"saque"
"ELECTRONCARLOS REIS";"frango"
"ELECTRONCLAUDIA KAN";"pessoa"
"INT NEXTEL 9799999699806";"celular"
"ELECTRONCENTURY PAE";"padaria"
"SAQUE 24H 12468625 15/11";"saque"
"ELECTRONPAG*HiroCal";"farmacia"
"ELECTRONPASTEIS NIS";"alimentacao"
"ELECTRONSANTO GOLE";"boleto"
"TED 340.0000SAMUEL JOSE";"entrada"
"ELECTRONPAG*CaioVin";"pessoa"
"ELECTRONPLAYLAND -";"lazer"
"PIX TRANSF  FRANCIS26/11";"transferencia"
"EST PIX TF  FRANCISCO";"estorno"
"TBI 0745.13546-7     C/C";"transferencia"
"BO  PROMOCAO PIX CADAST";"entrada"
"ELECTRONPARK PLACE";"estacionamento"
"ELECTRONHABIB S";"alimentacao"
"SAQUE 24H 15720220 29/11";"feira"
"TED 237.2846ANDRE N BA";"salario"
"ELECTRONESTAPAR SHO";"estacionamento"
"PIX TRANSF  ALEXAND23/01";"cabeleireiro"
"INT PAG TIT 109046299963";"boleto"
"INT  PAG TIT BANCO 077";"juros"
"INT NEXTEL 9099999687157";"celular"
"SAQUE 24H 12244067 31/01";"saque"
"ELECTRONAV ZACHI NA";"alimentacao"
"ELECTRONFERNANDA GO";"alimentacao"
"PIX TRANSF  ANDRE N31/01";"salario"
"PIX TRANSF  Ana Mar02/02";"bencao"
"TAR PACOTE ITAU   JAN/21";"banco"
"ELECTRONFARMAVAN XI";"farmacia"
"INT TED  467957";"seminario"
"ELECTRONSALAO FERNA";"michelle"
"LIS/JUROS     24 DIAS";"juros"
"INT PAG TIT 109046299963";"condominio"
"INT  PAG TIT BANCO 077";"creche"
"ELECTRONFERNANDA GO";"pessoa"
"PIX TRANSF  EDUARDO06/02";"tapete"
"INT NEXTEL 9499999687161";"celular"
"INT PAG TIT 109006113573";"enfermagem"
"SAQUE 24H 11104585 14/02";"saque"
"ELECTRONIMW 3 R VIL";"alimentacao"
"ELECTRONLOJAS RENNE";"roupa"
"ELECTRONPAES E DOCE";"padaria"
"PIX QRS CLAUDIO DOU13/02";"tapete"
"PIX TRANSF  ANDRE N15/02";"salario"
"PIX TRANSF  ALEXAND18/02";"cabeleireiro"
"ELECTRONPANIFICADOR";"padaria"
"ELECTRONRAGAZZO";"alimentacao"
"LIS/JUROS     11 DIAS";"juros"
"TAR PACOTE ITAU   DEZ/20";"banco"
"INT NEXTEL 9899999691047";"celular"
"INT NEXTEL 9899999691090";"celular"
"ELECTRONMARIA ELENA";"pessoa"
"INT PAG TIT 109038470523";"condominio"
"SAQUE 24H 18100537";"saque"
"INT SEFAZ-SP/DARE 210590";"poupatempo rg"
"ELECTRONPAG*galasso";"feira"
"ELECTRONPAG*Rosange";"feira"
"ELECTRONPAG*SidneyD";"feira"
"ELECTRONREINALDO DE";"frango"
"ELECTRONDROGARIA MA";"farmacia"
"ELECTRONMINI MERCAD";"mercado"
"ELECTRONPAG*Josisma";"mercado"
"INT IPVA-SP HOH-6396";"multa"
"INT MULTA SP 31997756838";"multa"
"SAQUE 24H 11770278 17/01";"saque"
"ELECTRONFENIX";"alimentacao"
"ELECTRONLOUCADEMIA";"academia"
"ELECTRONSHOPPING CE";"estacionamento"
"ELECTRONYINGXUE MA";"mercado"
"SAQUE 24H 10758613 24/01";"saque"
"ELECTRONA POSTO JD";"carro"
"ELECTRONFARMACIAS P";"farmacia"
"ELECTRONMARGINAL GR";"lazer"
"ELECTRONFARMACIA IN";"farmacia"
"ELECTRONPAG*Farmaco";"farmacia"
"ELECTRONIMW 3 R VIL";"salgado"
"SAQUE 24H 12763504 21/02";"saque"
"ELECTRONPARK NOW ES";"estacionamento"
"ELECTRONPASTEIS SON";"alimentacao"
"SAQUE 24H 11833548 28/02";"saque"
"PIX TRANSF  ANDRE N27/02";"salario"
"ELECTRONTRIMAIS II";"mercado"
"TAR PACOTE ITAU   FEV/21";"banco"
"INT PAG TIT 109006113581";"enfermagem"
"INT PAG TIT 109049905525";"condominio"
"SAQUE 24H 10024040";"saque"
"ELECTRONCENTAURO SH";"nata��o"
"PIX TRANSF  MICHELL04/03";"michelle"
"LIS/JUROS     21 DIAS";"juros"
"SAQUE 24H 16333155 07/03";"saque"
"ELECTRONLOUCADEMIA";"alimentacao"
"INT NEXTEL 9299999684097";"celular"
"INT NEXTEL 9899999684073";"celular"
"PIX TRANSF  IGREJA 12/03";"seminario"
"INT PAG TIT 109054906699";"condominio"
"INT NEXTEL 9099999679470";"celular"
"INT NEXTEL 9099999679474";"celular"
"PIX TRANSF  ALEXAND03/04";"cabeleireiro"
"PIX TRANSF  Bruna R03/04";"doa��o"
"PIX TRANSF  JONAS A05/04";"alimentacao"
"TAR PACOTE ITAU   MAR/21";"banco"
"INT PAG TIT 109006113599";"enfermagem"
"SAQUE 24H 11261716 11/04";"saque"
"SAQUE 24H 13658083 11/04";"saque"
"ELECTRONPAG*Josisma";"alimentacao"
"PIX TRANSF  ESPACO 14/04";"creche"
"PIX TRANSF  IMW 3 R15/04";"oferta"
"PIX TRANSF  ANDRE N15/04";"pessoa"
"INT ITAU VISA";"cartao credito"
"TAR PACOTE ITAU   JUN/22";"banco"
"CXE 000232 SAQUE 09/07";"saque"
"SAQUE 24H 532839847";"saque"
"ELECTRONIMW 3 R VIL";"oferta"
"DA  CLARO MOVEL 46827963";"celular"
"INT CLARO-SP DDD  146827";"celular"
"ELECTRONPAG*pasteld";"alimentacao"
"ELECTRONPAG*LuizaDe";"pessoa"
"ELECTRONPAG*Marcelo";"pessoa"
"ELECTRONPAG*RaizesM";"outros"
"ELECTRONRESTAURANTE";"alimentacao"
"ELECTRONFRIGOMUNDO";"mercado"
"ELECTRONOGGI SORVET";"alimentacao"
"ELECTRONPAG*SuperEs";"alimentacao"
"PIX QRS RAIA DROGAS07/07";"farmacia"
"ELECTRONRECANTO NOV";"alimentacao"
"PIX TRANSF  erlonds08/07";"cabeleireiro"
"ELECTRONCOFFEE SHOP";"alimentacao"
"ELECTRONDONA JU REF";"outros"
"ELECTRONGALPAO GAUC";"alimentacao"
"ELECTRONLACHONOTE C";"alimentacao"
"ELECTRONMERCI PAPA";"roupa"
"ELECTRONPAG*CANTINA";"alimentacao"
"ELECTRONPAYGO*KAPRI";"roupa"
"ELECTRONPB ADMINIST";"estacionamento"
"ELECTRONPOLO TATUAP";"roupa"
"ELECTRONMINI EXTRA";"mercado"
"ELECTRONPAG*Padaria";"padaria"
"PIX TRANSF  IMW R 306/07";"seminario"
"TAR PACOTE ITAU   MAR/22";"banco"
"LIS/JUROS     16 DIAS";"juros"
